,support,itemsets
0,0.0004100510246711693,frozenset({'adap-org'})
1,0.0009991483015532087,frozenset({'alg-geom'})
2,0.07399174140384901,frozenset({'astro-ph'})
3,0.0313443284115508,frozenset({'astro-ph.CO'})
4,0.009920566656813271,frozenset({'astro-ph.EP'})
5,0.022436250757435862,frozenset({'astro-ph.GA'})
6,0.02126226905666498,frozenset({'astro-ph.HE'})
7,0.009725371134795147,frozenset({'astro-ph.IM'})
8,0.024864258365848366,frozenset({'astro-ph.SR'})
9,0.0016837369129477121,frozenset({'chao-dyn'})
10,0.00017623768354873884,frozenset({'chem-ph'})
11,0.0006277150959863448,frozenset({'cmp-lg'})
12,0.00015517341858275414,frozenset({'comp-gas'})
13,0.009980950883049095,frozenset({'cond-mat'})
14,0.011656262090010413,frozenset({'cond-mat.dis-nn'})
15,0.040657542095178176,frozenset({'cond-mat.mes-hall'})
16,0.037884782683489056,frozenset({'cond-mat.mtrl-sci'})
17,0.008759925657187513,frozenset({'cond-mat.other'})
18,0.008897545521631947,frozenset({'cond-mat.quant-gas'})
19,0.0181974185041142,frozenset({'cond-mat.soft'})
20,0.03686176154830773,frozenset({'cond-mat.stat-mech'})
21,0.03475112219871606,frozenset({'cond-mat.str-el'})
22,0.02259212631818415,frozenset({'cond-mat.supr-con'})
23,0.010726625862844954,frozenset({'cs.AI'})
24,0.0007948249313831569,frozenset({'cs.AR'})
25,0.004311855038537073,frozenset({'cs.CC'})
26,0.0019287845287186678,frozenset({'cs.CE'})
27,0.0024251990397503743,frozenset({'cs.CG'})
28,0.006899951060691062,frozenset({'cs.CL'})
29,0.0061893831891718445,frozenset({'cs.CR'})
30,0.01430333805406916,frozenset({'cs.CV'})
31,0.003561967205748017,frozenset({'cs.CY'})
32,0.002666735944693666,frozenset({'cs.DB'})
33,0.00561643518209706,frozenset({'cs.DC'})
34,0.0017272697272107474,frozenset({'cs.DL'})
35,0.005122127097561951,frozenset({'cs.DM'})
36,0.008264915430486873,frozenset({'cs.DS'})
37,0.0008678477165985706,frozenset({'cs.ET'})
38,0.0016893540502719749,frozenset({'cs.FL'})
39,0.00010321489833332515,frozenset({'cs.GL'})
40,0.000838357745646192,frozenset({'cs.GR'})
41,0.0034264537678001814,frozenset({'cs.GT'})
42,0.002251769924863767,frozenset({'cs.HC'})
43,0.0032431946625961143,frozenset({'cs.IR'})
44,0.018278866995316008,frozenset({'cs.IT'})
45,0.01582277370028219,frozenset({'cs.LG'})
46,0.0059373141517455605,frozenset({'cs.LO'})
47,0.0014070928997277795,frozenset({'cs.MA'})
48,0.0012399830643309673,frozenset({'cs.MM'})
49,0.0008137827698525431,frozenset({'cs.MS'})
50,0.001664779074478326,frozenset({'cs.NA'})
51,0.0037192470508273694,frozenset({'cs.NE'})
52,0.007389344150067441,frozenset({'cs.NI'})
53,0.0012062802403853918,frozenset({'cs.OH'})
54,0.00027453758672333424,frozenset({'cs.OS'})
55,0.0011002567733899354,frozenset({'cs.PF'})
56,0.002486987550317263,frozenset({'cs.PL'})
57,0.003177193299036029,frozenset({'cs.RO'})
58,0.0009535090607935751,frozenset({'cs.SC'})
59,0.0011086824793763292,frozenset({'cs.SD'})
60,0.0035570522105892867,frozenset({'cs.SE'})
61,0.0061079346979700366,frozenset({'cs.SI'})
62,0.004884803045611857,frozenset({'cs.SY'})
63,0.0005139680651700272,frozenset({'dg-ga'})
64,0.00030192113117911436,frozenset({'econ.EM'})
65,0.0004402431377890807,frozenset({'eess.AS'})
66,0.0002829632927097281,frozenset({'eess.IV'})
67,0.0011767902694330133,frozenset({'eess.SP'})
68,0.00029981470468251587,frozenset({'funct-an'})
69,0.0508765191723429,frozenset({'gr-qc'})
70,0.025793192450848292,frozenset({'hep-ex'})
71,0.015171887912833262,frozenset({'hep-lat'})
72,0.0965613991727361,frozenset({'hep-ph'})
73,0.08748691382538988,frozenset({'hep-th'})
74,0.03795429475787681,frozenset({'math-ph'})
75,0.005824971405260309,frozenset({'math.AC'})
76,0.024372056707809855,frozenset({'math.AG'})
77,0.022847003924272562,frozenset({'math.AP'})
78,0.006620498478808998,frozenset({'math.AT'})
79,0.009924077367640935,frozenset({'math.CA'})
80,0.025796001019510423,frozenset({'math.CO'})
81,0.003257237505906771,frozenset({'math.CT'})
82,0.007464473361779453,frozenset({'math.CV'})
83,0.01945284869608689,frozenset({'math.DG'})
84,0.014363722280304983,frozenset({'math.DS'})
85,0.012736858882765429,frozenset({'math.FA'})
86,0.0016472255203400052,frozenset({'math.GM'})
87,0.002147852884364909,frozenset({'math.GN'})
88,0.009652348349579733,frozenset({'math.GR'})
89,0.010591814567062652,frozenset({'math.GT'})
90,0.0014590514199772084,frozenset({'math.HO'})
91,0.018278866995316008,frozenset({'math.IT'})
92,0.0028085686621312964,frozenset({'math.KT'})
93,0.005357344723015448,frozenset({'math.LO'})
94,0.0045835840565982755,frozenset({'math.MG'})
95,0.03795429475787681,frozenset({'math.MP'})
96,0.010779286525259916,frozenset({'math.NA'})
97,0.017069778186268487,frozenset({'math.NT'})
98,0.006121275399115161,frozenset({'math.OA'})
99,0.012656112533729153,frozenset({'math.OC'})
100,0.023191053585383647,frozenset({'math.PR'})
101,0.010108740757176068,frozenset({'math.QA'})
102,0.00757822039259577,frozenset({'math.RA'})
103,0.01155094076518049,frozenset({'math.RT'})
104,0.0043497707154758454,frozenset({'math.SG'})
105,0.004282365067584695,frozenset({'math.SP'})
106,0.008370236755316797,frozenset({'math.ST'})
107,0.0001839612473695999,frozenset({'mtrl-th'})
108,0.0031926404266777514,frozenset({'nlin.AO'})
109,0.008454493815180734,frozenset({'nlin.CD'})
110,0.0007892077940588943,frozenset({'nlin.CG'})
111,0.004568839071122086,frozenset({'nlin.PS'})
112,0.0063045345043192275,frozenset({'nlin.SI'})
113,0.012568344763037552,frozenset({'nucl-ex'})
114,0.02994495907564388,frozenset({'nucl-th'})
115,0.00045639240759633566,frozenset({'patt-sol'})
116,0.003512817254160719,frozenset({'physics.acc-ph'})
117,0.0021492571686959746,frozenset({'physics.ao-ph'})
118,0.0015194356462130314,frozenset({'physics.app-ph'})
119,0.0013305594036847016,frozenset({'physics.atm-clus'})
120,0.009565984863219195,frozenset({'physics.atom-ph'})
121,0.0063529823137409925,frozenset({'physics.bio-ph'})
122,0.0077699052037862315,frozenset({'physics.chem-ph'})
123,0.003935506837811479,frozenset({'physics.class-ph'})
124,0.007064954469591276,frozenset({'physics.comp-ph'})
125,0.004496518428072206,frozenset({'physics.data-an'})
126,0.0015784155881177885,frozenset({'physics.ed-ph'})
127,0.009144699563899501,frozenset({'physics.flu-dyn'})
